Title;SupplierType;INN;QualityRating;StartDate
ГаражТелекомГор;МКК;1718185951;18;2018-11-26
Компания Омск;ОАО;1878504395;49;2012-05-10
ГорМонтаж;ООО;1564667734;39;2013-07-10
Микро;МКК;2293562756;25;2014-07-15
Электро;ЗАО;1755853973;43;2012-05-14
Компания Мотор;ООО;1429908355;85;2010-09-16
Асбоцем;МФО;1944834477;23;2012-09-07
ВостокМети;ООО;1488487851;51;2019-04-08
МясКрепТеле;ПАО;2152486844;78;2013-03-17
Софт;МКК;1036521658;84;2017-10-13
Компания СервисМикроО;ООО;1178826599;27;2013-04-14
ИнфоГазМотор;ОАО;1954050214;92;2011-02-10
Монтаж;ОАО;1163880101;66;2019-06-01
ЭлектроХром;ОАО;1654184411;13;2014-08-17
Компания НефтьITИнф;ООО;1685247455;56;2014-09-26
ТомскНефть;ООО;1002996016;44;2010-01-13
ТомскТяжРеч;МФО;1102143492;59;2010-09-11
УралХме;ООО;2291253256;40;2010-06-15
ВодРыб;ЗАО;1113468466;38;2016-09-20
УралСервисМон;МКК;1892306757;77;2015-04-22
Казань;ОАО;1965011544;77;2017-04-21
Cиб;ОАО;1949139718;89;2010-10-26
ГаражГазМ;ОАО;1740623312;99;2017-10-07
МобайлДизайнОмск;ООО;1014490629;99;2011-05-10
ЖелДорГаз;МФО;1255275062;25;2017-09-07
ТверьБухГаз;ОАО;2167673760;54;2014-03-26
ТелекомТранс;ОАО;2200735978;87;2019-02-17
ГаражГлав;МКК;1404774111;1;2014-11-20
Компания К;ПАО;1468114280;54;2014-08-09
ТяжЛифтВостокС;ОАО;1032089879;70;2018-03-01
Компания Во;ПАО;2027005945;23;2014-04-08
МоторКаз;ОАО;1076279398;37;2015-08-27
Сервис;ОАО;2031832854;5;2014-03-11
ЮпитерТомс;ПАО;1551173338;11;2010-06-05
Мор;МКК;1906157177;38;2010-10-14
СеверТехВостокЛизинг;ООО;1846812080;34;2010-12-26
ЦементОбл;ООО;2021607106;46;2012-11-14
Компания КазаньАвтоCиб;МКК;1371692583;72;2010-04-16
ГаражХозФлот;ОАО;2164720385;19;2019-01-03
Компания МорМетал;ООО;1947163072;93;2010-02-25
ГлавРыб;МФО;1426268088;59;2013-12-07
CибCибОрио;ООО;1988313615;1;2019-02-22
ТелеРыбХм;ООО;2299034130;51;2019-02-21
ГлавАвтоГазТрест;МФО;2059691335;28;2013-07-17
ТяжКазаньБашкир;ПАО;1794419510;55;2016-06-01
Асбоцемент;МФО;1650212184;32;2018-12-08
Мотор;ПАО;1019917089;59;2017-09-09
МорФинансФинансМаш;ООО;1549496316;50;2016-04-15
РыбВектор;ОАО;2275526397;72;2010-11-25
Теле;ПАО;2170198203;96;2010-04-13
